🦄央视频道「多线路」,#genre#
直播中国-唯一微信号:Star-Fairy6,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001


CCTV1,http://8.130.35.211/ysp/?id=cctv1
CCTV2,http://8.130.35.211/ysp/?id=cctv2
CCTV3,http://8.130.35.211/ysp/?id=cctv3
CCTV4,http://8.130.35.211/ysp/?id=cctv4
CCTV5,http://8.130.35.211/ysp/?id=cctv5
CCTV5+,http://8.130.35.211/ysp/?id=cctv5p
CCTV6,http://148.135.93.213:81/sxg.php?id=CCTV-6H265_4000
CCTV7,http://8.130.35.211/ysp/?id=cctv7
CCTV8,http://8.130.35.211/ysp/?id=cctv8
CCTV9,http://8.130.35.211/ysp/?id=cctv9
CCTV10,http://8.130.35.211/ysp/?id=cctv10
CCTV11,http://8.130.35.211/ysp/?id=cctv11
CCTV12,http://8.130.35.211/ysp/?id=cctv12
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV14,http://8.130.35.211/ysp/?id=cctv14
CCTV15,http://8.130.35.211/ysp/?id=cctv15
CCTV16,http://8.130.35.211/ysp/?id=cctv16
CCTV-16 奥林匹克 4K,http://8.130.35.211/ysp/?id=cctv16-4k
CCTV17,http://8.130.35.211/ysp/?id=cctv17
CCTV-4K 超高清,http://8.130.35.211/ysp/?id=cctv4k
CCTV-8K 超高清,http://8.130.35.211/ysp/?id=cctv8k

CCTV1,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv1
CCTV2,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv2
CCTV3,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv3
CCTV4,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv4
CCTV5,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv5
CCTV5+,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv5p
CCTV6,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv6
CCTV7,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv7
CCTV8,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv8
CCTV9,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv9
CCTV10,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv10
CCTV11,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv11
CCTV12,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv12
CCTV13,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv13
CCTV14,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv14
CCTV15,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv15
CCTV16,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv16
CCTV16-4k,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv164k
CCTV17,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv17


CCTV1,http://112.132.181.221:9988/hls/1/index.m3u8
CCTV2,http://112.132.181.221:9988/hls/2/index.m3u8
CCTV3,http://112.132.181.221:9988/hls/3/index.m3u8
CCTV4,http://112.132.181.221:9988/hls/4/index.m3u8
CCTV5,http://112.132.181.221:9988/hls/5/index.m3u8
CCTV5+,http://112.132.181.221:9988/hls/6/index.m3u8
CCTV6,http://112.132.181.221:9988/hls/7/index.m3u8
CCTV7,http://112.132.181.221:9988/hls/8/index.m3u8
CCTV8,http://112.132.181.221:9988/hls/9/index.m3u8
CCTV9,http://112.132.181.221:9988/hls/10/index.m3u8
CCTV10,http://112.132.181.221:9988/hls/11/index.m3u8
CCTV11,http://112.132.181.221:9988/hls/12/index.m3u8
CCTV12,http://112.132.181.221:9988/hls/13/index.m3u8
CCTV13,http://112.132.181.221:9988/hls/14/index.m3u8
CCTV14,http://112.132.181.221:9988/hls/15/index.m3u8
CCTV15,http://112.132.181.221:9988/hls/16/index.m3u8
CCTV16,http://112.132.181.221:9988/hls/52/index.m3u8
CCTV4k,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv4k
CCTV8k,http://www.biaozhun114.com/dl/dl668/ysp1.php?cctv8k


CCTV1,https://live.goodiptv.club/api/cqyx.php?id=cctv1HD
CCTV2,https://live.goodiptv.club/api/cqyx.php?id=cctv2HD
CCTV3,https://live.goodiptv.club/api/cqyx.php?id=cctv3HD
CCTV4,https://live.goodiptv.club/api/cqyx.php?id=cctv4HD
CCTV5,https://live.goodiptv.club/api/cqyx.php?id=cctv5HD
CCTV5+,https://live.goodiptv.club/api/cqyx.php?id=cctv5SportHD
CCTV6,https://live.goodiptv.club/api/cqyx.php?id=cctv6HD
CCTV7,https://live.goodiptv.club/api/cqyx.php?id=cctv7HD
CCTV8,https://live.goodiptv.club/api/cqyx.php?id=cctv8HD
CCTV9,https://live.goodiptv.club/api/cqyx.php?id=cctv9HD
CCTV10,https://live.goodiptv.club/api/cqyx.php?id=cctv10HD
CCTV11,https://live.goodiptv.club/api/cqyx.php?id=cctv11HD
CCTV12,https://live.goodiptv.club/api/cqyx.php?id=cctv12HD
CCTV13,https://live.goodiptv.club/api/cqyx.php?id=cctv13HD
CCTV14,https://live.goodiptv.club/api/cqyx.php?id=cctv14HD
CCTV15,https://live.goodiptv.club/api/cqyx.php?id=cctv15HD
CCTV16,https://live.goodiptv.club/api/cqyx.php?id=cctv16HD
CCTV17,https://live.goodiptv.club/api/cqyx.php?id=cctv17HD


CCTV1,http://117.59.80.3/__cl/cg:live/__c/cctv1HD/__op/default/__f/index.m3u8
CCTV1,http://ainm.cc/a/play/php/migu.php?id=cctv1
CCTV2,http://117.59.80.3/__cl/cg:live/__c/cctv2HD/__op/default/__f/index.m3u8
CCTV3,http://117.59.80.3/__cl/cg:live/__c/cctv3HD/__op/default/__f/index.m3u8
CCTV4,http://117.59.80.3/__cl/cg:live/__c/cctv4HD/__op/default/__f/index.m3u8
