🦄央视频道「多线路」,#genre#
天津滨海综艺,http://traffic.jbh.tjbh.com/live/bhtv2/playlist.m3u8
天津滨海新闻,http://traffic.jbh.tjbh.com/live/bhtv1/playlist.m3u8
天津滨海影视,http://traffic.jbh.tjbh.com/live/bhtv3/playlist.m3u8
宝坻一套,https://hb2stream1.baoxinwen.com/d6387fc7a8836e78/6385068498053235715_1597997122.m3u8?auth_key=1893456000-0-0-93ea48b07ddd03f4904079b7659e81a4
武清综合频道,https://tvpull.smartwq.cn/wqlive/convergencemedia/playlist.m3u8
西青新闻综合,http://221.238.209.44:81/hls/live1.m3u8
天津滨海新闻,http://traffic.jbh.tjbh.com/live/bhtv1/playlist.m3u8
天津滨海综艺,http://traffic.jbh.tjbh.com/live/bhtv2/playlist.m3u8
天津滨海影视,http://traffic.jbh.tjbh.com/live/bhtv3/playlist.m3u8
天津津南一套,http://play.jinnantv.top/live/JNTV1.m3u8
西青新闻综合,http://221.238.209.44:81/hls/live1.m3u8
武清综合频道https://tvpull.smartwq.cn/wqlive/convergencemedia/playlist.m3u8
CCTV1,http://112.132.181.221:9988/hls/1/index.m3u8
CCTV2,http://112.132.181.221:9988/hls/2/index.m3u8
CCTV3,http://112.132.181.221:9988/hls/3/index.m3u8
CCTV4,http://112.132.181.221:9988/hls/4/index.m3u8
CCTV5,http://112.132.181.221:9988/hls/5/index.m3u8
CCTV5+,http://112.132.181.221:9988/hls/6/index.m3u8
CCTV6,http://112.132.181.221:9988/hls/7/index.m3u8
CCTV7,http://112.132.181.221:9988/hls/8/index.m3u8
CCTV8,http://112.132.181.221:9988/hls/9/index.m3u8
CCTV9,http://112.132.181.221:9988/hls/10/index.m3u8
CCTV10,http://112.132.181.221:9988/hls/11/index.m3u8
CCTV11,http://112.132.181.221:9988/hls/12/index.m3u8
CCTV12,http://112.132.181.221:9988/hls/13/index.m3u8
CCTV13,http://112.132.181.221:9988/hls/14/index.m3u8
CCTV14,http://112.132.181.221:9988/hls/15/index.m3u8
CCTV15,http://112.132.181.221:9988/hls/16/index.m3u8
CCTV16,http://112.132.181.221:9988/hls/52/index.m3u8

CCTV1,https://live.goodiptv.club/api/cqyx.php?id=cctv1HD
CCTV2,https://live.goodiptv.club/api/cqyx.php?id=cctv2HD
CCTV3,https://live.goodiptv.club/api/cqyx.php?id=cctv3HD
CCTV4,https://live.goodiptv.club/api/cqyx.php?id=cctv4HD
CCTV5,https://live.goodiptv.club/api/cqyx.php?id=cctv5HD
CCTV5+,https://live.goodiptv.club/api/cqyx.php?id=cctv5SportHD
CCTV6,https://live.goodiptv.club/api/cqyx.php?id=cctv6HD
CCTV7,https://live.goodiptv.club/api/cqyx.php?id=cctv7HD
CCTV8,https://live.goodiptv.club/api/cqyx.php?id=cctv8HD
CCTV9,https://live.goodiptv.club/api/cqyx.php?id=cctv9HD
CCTV10,https://live.goodiptv.club/api/cqyx.php?id=cctv10HD
CCTV11,https://live.goodiptv.club/api/cqyx.php?id=cctv11HD
CCTV12,https://live.goodiptv.club/api/cqyx.php?id=cctv12HD
CCTV13,https://live.goodiptv.club/api/cqyx.php?id=cctv13HD
CCTV14,https://live.goodiptv.club/api/cqyx.php?id=cctv14HD
CCTV15,https://live.goodiptv.club/api/cqyx.php?id=cctv15HD
CCTV16,https://live.goodiptv.club/api/cqyx.php?id=cctv16HD
CCTV17,https://live.goodiptv.club/api/cqyx.php?id=cctv17HD

CCTV1,http://ys.rgood.xyz:8899/udp/239.77.1.17:5146
CCTV1,http://ys.rgood.xyz:8899/udp/239.77.1.144:5146
CCTV1,http://ys.rgood.xyz:8899/udp/239.77.0.86:5146
CCTV1,http://ys.rgood.xyz:8899/udp/239.77.0.129:5146
CCTV1,http://1583.hsmedia.top:8080/newlive/live/hls/2/live.m3u8
CCTV1,http://113.57.150.190:9000/tsfile/live/0001_1.m3u8
CCTV1,http://1304.hsmedia.top:8080/newlive/live/hls/2/live.m3u8
CCTV1,http://1278.hsmedia.top:8080/newlive/live/hls/1/live.m3u8

CCTV2,http://ys.rgood.xyz:8899/udp/239.77.1.158:5146
CCTV2,http://ys.rgood.xyz:8899/udp/239.253.43.17:5146
CCTV2,http://ys.rgood.xyz:8899/udp/239.77.0.137:5146
CCTV2,http://1278.hsmedia.top:8080/newlive/live/hls/2/live.m3u8
CCTV2,http://1583.hsmedia.top:8080/newlive/live/hls/3/live.m3u8
CCTV2,http://171.213.36.94:8888/udp/239.93.1.23:6000
CCTV2,http://171.221.240.108:808/hls/02/index.m3u8
CCTV2,http://113.57.150.190:9000/tsfile/live/0002_1.m3u8
CCTV2,http://ys.rgood.xyz:8899/udp/239.253.43.17:5146
CCTV2,http://1304.hsmedia.top:8080/newlive/live/hls/3/live.m3u8

CCTV3,http://ys.rgood.xyz:8899/udp/239.77.0.169:5146
CCTV3,http://ys.rgood.xyz:8899/udp/239.77.0.175:5146
CCTV3,http://ys.rgood.xyz:8899/udp/239.77.0.169:5146
CCTV3,http://171.213.36.94:8888/udp/239.93.1.11:2223
CCTV3,http://ys.rgood.xyz:8899/udp/239.77.0.169:5146
CCTV3,http://113.57.150.190:9000/tsfile/live/0003_1.m3u8
CCTV3,http://1278.hsmedia.top:8080/newlive/live/hls/3/live.m3u8
CCTV3,http://1304.hsmedia.top:8080/newlive/live/hls/4/live.m3u8

CCTV4,http://ys.rgood.xyz:8899/udp/239.77.1.163:5146
CCTV4,http://ys.rgood.xyz:8899/udp/239.77.1.166:5146
CCTV4,http://ys.rgood.xyz:8899/udp/239.77.0.78:5146
CCTV4,http://1583.hsmedia.top:8080/newlive/live/hls/5/live.m3u8
CCTV4,http://171.213.36.94:8888/udp/239.93.1.105:5140
CCTV4,http://113.57.150.190:9000/tsfile/live/0004_1.m3u8
CCTV4,http://1304.hsmedia.top:8080/newlive/live/hls/5/live.m3u8

CCTV5+,http://ys.rgood.xyz:8899/udp/239.77.0.241:5146
CCTV5+,http://ys.rgood.xyz:8899/udp/239.77.0.170:5146
CCTV5+,http://ys.rgood.xyz:8899/udp/239.77.0.177:5146
CCTV5+,http://ys.rgood.xyz:8899/udp/239.77.0.87:5146
CCTV5+,http://ys.rgood.xyz:8899/udp/239.77.1.31:5146
CCTV5+,http://ys.rgood.xyz:8899/udp/239.77.1.147:5146
CCTV5+,http://1278.hsmedia.top:8080/newlive/live/hls/5/live.m3u8
CCTV5+,http://1583.hsmedia.top:8080/newlive/live/hls/7/live.m3u8
