🦄线路1,#genre#
CCTV-1 综合,http://60.205.114.16/ysp/cctv1.m3u8
CCTV-2 财经,http://60.205.114.16/ysp/cctv2.m3u8
CCTV-3 综艺,http://60.205.114.16/ysp/cctv3.m3u8
CCTV-4 中文国际,http://60.205.114.16/ysp/cctv4.m3u8
CCTV-5 体育,http://60.205.114.16/ysp/cctv5.m3u8
CCTV-5+ 体育赛事,http://60.205.114.16/ysp/cctv5p.m3u8
CCTV-6 电影,http://60.205.114.16/ysp/cctv6.m3u8
CCTV-7 国防军事,http://60.205.114.16/ysp/cctv7.m3u8
CCTV-8 电视剧,http://60.205.114.16/ysp/cctv8.m3u8
CCTV-9 纪录,http://60.205.114.16/ysp/cctv9.m3u8
CCTV-10 科教,http://60.205.114.16/ysp/cctv10.m3u8
CCTV-11 戏曲,http://60.205.114.16/ysp/cctv11.m3u8
CCTV-12 社会与法,http://60.205.114.16/ysp/cctv12.m3u8
CCTV-13 新闻,http://60.205.114.16/ysp/cctv13.m3u8
CCTV-14 少儿,http://60.205.114.16/ysp/cctv14.m3u8
CCTV-15 音乐,http://60.205.114.16/ysp/cctv15.m3u8
CCTV-16 奥林匹克,http://60.205.114.16/ysp/cctv16.m3u8
CCTV-17 农业农村,http://60.205.114.16/ysp/cctv17.m3u8
CCTV-4K 超高清,http://60.205.114.16/ysp/cctv4k.m3u8
CCTV-8K 超高清,http://60.205.114.16/ysp/cctv8k.m3u8
CCTV兵器科技,http://60.205.114.16/ysp/bqkj.m3u8
CCTV第一剧场,http://60.205.114.16/ysp/dyjc.m3u8
CCTV怀旧剧场,http://60.205.114.16/ysp/hjjc.m3u8
CCTV风云剧场,http://60.205.114.16/ysp/fyjc.m3u8
CCTV风云音乐,http://60.205.114.16/ysp/fyyy.m3u8
CCTV风云足球,http://60.205.114.16/ysp/fyzq.m3u8
CCTV电视指南,http://60.205.114.16/ysp/dszn.m3u8
CCTV女性时尚,http://60.205.114.16/ysp/nxss.m3u8
CCTV央视文化精品,http://60.205.114.16/ysp/whjp.m3u8
CCTV世界地理,http://60.205.114.16/ysp/sjdl.m3u8
CCTV高尔夫网球,http://60.205.114.16/ysp/gefwq.m3u8
CCTV央视台球,http://60.205.114.16/ysp/ystq.m3u8
CCTV卫生健康,http://60.205.114.16/ysp/wsjk.m3u8
CGTN,http://60.205.114.16/ysp/cgtn.m3u8
CGTN纪录,http://60.205.114.16/ysp/cgtnjl.m3u8
CGTN西语,http://60.205.114.16/ysp/cgtne.m3u8
CGTN法语,http://60.205.114.16/ysp/cgtnf.m3u8
CGTN阿语,http://60.205.114.16/ysp/cgtna.m3u8
CGTN俄语,http://60.205.114.16/ysp/cgtnr.m3u8
北京卫视,http://60.205.114.16/ysp/bjws.m3u8
东方卫视,http://60.205.114.16/ysp/dfws.m3u8
天津卫视,http://60.205.114.16/ysp/tjws.m3u8
重庆卫视,http://60.205.114.16/ysp/cqws.m3u8
黑龙江卫视,http://60.205.114.16/ysp/hljws.m3u8
辽宁卫视,http://60.205.114.16/ysp/lnws.m3u8
河北卫视,http://60.205.114.16/ysp/hbws.m3u8
山东卫视,http://60.205.114.16/ysp/sdws.m3u8
安徽卫视,http://60.205.114.16/ysp/ahws.m3u8
河南卫视,http://60.205.114.16/ysp/hnws.m3u8
湖北卫视,http://60.205.114.16/ysp/hubws.m3u8
湖南卫视,http://60.205.114.16/ysp/hunws.m3u8
江西卫视,http://60.205.114.16/ysp/jxws.m3u8
江苏卫视,http://60.205.114.16/ysp/jsws.m3u8
浙江卫视,http://60.205.114.16/ysp/zjws.m3u8
东南卫视,http://60.205.114.16/ysp/dnws.m3u8
广东卫视,http://60.205.114.16/ysp/gdws.m3u8
深圳卫视,http://60.205.114.16/ysp/szws.m3u8
广西卫视,http://60.205.114.16/ysp/gxws.m3u8
贵州卫视,http://60.205.114.16/ysp/gzws.m3u8
四川卫视,http://60.205.114.16/ysp/scws.m3u8
新疆卫视,http://60.205.114.16/ysp/xjws.m3u8
海南卫视,http://60.205.114.16/ysp/hinws.m3u8
🦄线路2,#genre#
CCTV1,http://60.205.114.16/migu/cctv1.m3u8
CCTV2,http://60.205.114.16/migu/cctv2.m3u8
CCTV3,http://60.205.114.16/migu/cctv3.m3u8
CCTV4,http://60.205.114.16/migu/cctv4.m3u8
CCTV4欧洲,http://60.205.114.16/migu/cctv4o.m3u8
CCTV4美洲,http://60.205.114.16/migu/cctv4a.m3u8
CCTV5,http://60.205.114.16/migu/cctv5.m3u8
CCTV5+,http://60.205.114.16/migu/cctv5p2.m3u8
CCTV6,http://60.205.114.16/migu/cctv6.m3u8
CCTV7,http://60.205.114.16/migu/cctv7.m3u8
CCTV8,http://60.205.114.16/migu/cctv8.m3u8
CCTV9,http://60.205.114.16/migu/cctv9.m3u8
CCTV10,http://60.205.114.16/migu/cctv10.m3u8
CCTV11,http://60.205.114.16/migu/cctv11.m3u8
CCTV12,http://60.205.114.16/migu/cctv12.m3u8
CCTV13,http://60.205.114.16/migu/cctv13.m3u8
CCTV14,http://60.205.114.16/migu/cctv14.m3u8
CCTV15,http://60.205.114.16/migu/cctv15.m3u8
CCTV17,http://60.205.114.16/migu/cctv17.m3u8
北京卫视,http://60.205.114.16/migu/bjws.m3u8
东方卫视,http://60.205.114.16/migu/dfws2.m3u8
重庆卫视,http://60.205.114.16/migu/cqws.m3u8
吉林卫视,http://60.205.114.16/migu/jlws.m3u8
辽宁卫视,http://60.205.114.16/migu/lnws.m3u8
内蒙古卫视,http://60.205.114.16/migu/nmws.m3u8
宁夏卫视,http://60.205.114.16/migu/nxws.m3u8
甘肃卫视,http://60.205.114.16/migu/gsws.m3u8
青海卫视,http://60.205.114.16/migu/qhws.m3u8
陕西卫视,http://60.205.114.16/migu/sxws.m3u8
山东卫视,http://60.205.114.16/migu/sdws.m3u8
湖北卫视,http://60.205.114.16/migu/hubws.m3u8
湖南卫视,http://60.205.114.16/migu/hunws.m3u8
江西卫视,http://60.205.114.16/migu/jxws.m3u8
江苏卫视,http://60.205.114.16/migu/jsws.m3u8
广东卫视,http://60.205.114.16/migu/gdws.m3u8
大湾区卫视,http://60.205.114.16/migu/dwqws.m3u8
四川卫视,http://60.205.114.16/migu/scws.m3u8
新疆卫视,http://60.205.114.16/migu/xjws.m3u8
西藏卫视,http://60.205.114.16/migu/xzws.m3u8
海南卫视,http://60.205.114.16/migu/hinws.m3u8
