🔥VIP专享👉mitv,#genre#
mitv直播源,http://
影视app可播放,http://
缓存慢播放后不卡,http://
大愛,mitv://generationnexxxt.com:19806/e89ec8c592484d88bc001e8d8a6c9e31
原住民電視台,mitv://generationnexxxt.com:19806/cb5b7549e3604100a605ca17c82808f5
客家電視台,mitv://generationnexxxt.com:19806/eafabb6e7c30439b8ecd35ad40a46a96
東森綜合台,mitv://generationnexxxt.com:19806/a05a4d8b51f54013925315261a2c6aa9
超視,mitv://generationnexxxt.com:19806/5121f16c4b634c1683e9444aa68494b6
緯來戲劇台,mitv://generationnexxxt.com:19806/69036778f8fc40729301e9e88aeee556
東森新聞台,mitv://generationnexxxt.com:19806/e1a899eded4d48578084c61957fb8c2b
非凡新聞台,mitv://generationnexxxt.com:19806/02f80f7aad2c480992e06e1bd8a7facb
東森電影台,mitv://generationnexxxt.com:19806/08435f286ac744a0942899c551209779
HBO,mitv://generationnexxxt.com:19806/37f11d742fee447ab15f07db28095bd6
東森洋片台,mitv://generationnexxxt.com:19806/5e8420f5477344b9b7b39d9e96162ce1
AXN,mitv://generationnexxxt.com:19806/893f7dec641a42458f47ccfbd93525ba
ELEVEN體育1台,mitv://generationnexxxt.com:19806/fcfde35352d5464f9ed1c711ef2d05b1
國興衛視,mitv://generationnexxxt.com:19806/18aaee00d2af442ebb4592e15f7b2a20
Z頻道,mitv://generationnexxxt.com:19806/8789d946039740bda334150ac3138166
尼克兒童頻道,mitv://generationnexxxt.com:19806/879f28be19bc47df84ad3d5470be58d0
龍華偶像,mitv://generationnexxxt.com:19806/5b720b1e1b404f129e7009363d3035f8
tvN,mitv://generationnexxxt.com:19806/5653c9fb655842ee99b4590ff903efe7
非凡商業台,mitv://generationnexxxt.com:19806/0c1ba96949414628ae64fc70c3354e7b
ELTV生活英語台,mitv://generationnexxxt.com:19806/78c0f08e89a844ef89d6803bce27a827
ELEVEN體育2台,mitv://generationnexxxt.com:19806/057061c0da744aa7b035169dba5ebe2a
智林體育台,mitv://generationnexxxt.com:19806/931c171e2f774f7aa1a92e97f5098c9f
DMAX,mitv://generationnexxxt.com:19806/50af7fb4500840e292bcfae4dd50e97f

罪案偵緝頻道,mitv://generationnexxxt.com:19806/ef7b4ee3be374092a4a0074a6be41e03
靖天國際台,mitv://generationnexxxt.com:19806/12d39bada24843588ad72a3175b785a2
中視經典台,mitv://generationnexxxt.com:19806/8b9e15ff15474ccbbc2780c1484e50c9
TVBS精采台,mitv://generationnexxxt.com:19806/2089afbec2474359add275658522922f
ETtoday綜合台,mitv://generationnexxxt.com:19806/8e1b32241c9d4d079a2df7dc99adb312
靖天歡樂台,mitv://generationnexxxt.com:19806/439163cf3469473b8ffd582b687991be
三立戲劇台,mitv://generationnexxxt.com:19806/7a5b874b630d457bb5997a2fe4690550
靖洋戲劇台,mitv://generationnexxxt.com:19806/84a559f1b4884854be933d5d4fc0d4a6
靖天映畫,mitv://generationnexxxt.com:19806/b723859f3ed94e5ba712148b209eefd0
靖天電影台,mitv://generationnexxxt.com:19806/d8c581e0e1a24823a3d2110e3584ef8b
EYE TV戲劇台,mitv://generationnexxxt.com:19806/2831986ed4b448c9b626788fbd3f2f89
寰宇新聞台灣台,mitv://generationnexxxt.com:19806/65b21a80000977cd0ffaa9e72e6218af
台視財經台,mitv://generationnexxxt.com:19806/e01d7738e33e456a812f7cefbf27b29a
緯來日本,mitv://generationnexxxt.com:19806/5f9d37ba1fc04a04aaec6979908294a2
三立台灣台(備),mitv://generationnexxxt.com:19806/7554a57ea53f4c10ae4e219ac2d374c4
台視(備),mitv://generationnexxxt.com:19806/3c20d4387ec845149b2ded5f28805f18
中視(備),mitv://generationnexxxt.com:19806/c4ede9c3d1a84d0b9afe57622abcb9e7
華視(備),mitv://generationnexxxt.com:19806/177390ae66634acca9be01242a769660
